"","species","higher_taxon","trap","date"
"1","1","Dytiscidae","Hg","3/16/05"
"2","10","Staphylinidae","Hg","3/29/05"
"3","10","Staphylinidae","Hg","11/24/05"
"4","100","Carabidae","Hg","6/1/05"
"5","101","Carabidae","Na","4/12/05"
"6","101","Carabidae","Na","4/13/05"
"7","102","Carabidae","Na","4/13/05"
"8","102","Carabidae","Na","4/19/05"
"9","102","Carabidae","Na","5/13/05"
"10","102","Carabidae","Na","11/25/05"
"11","102","Carabidae","Na","11/25/05"
"12","103","Carabidae","Na","5/13/05"
"13","104","Carabidae","Na","4/12/05"
"14","105","Carabidae","Na","4/12/05"
"15","106","Carabidae","Na","5/18/05"
"16","107","Carabidae","Hg","5/17/05"
"17","108","Carabidae","Hg","4/12/05"
"18","109","Carabidae","Hg","3/18/05"
"19","109","Carabidae","Hg","3/24/05"
"20","109","Carabidae","Hg","4/12/05"
"21","109","Carabidae","Hg","4/13/05"
"22","109","Carabidae","Hg","4/20/05"
"23","109","Carabidae","Hg","5/10/05"
"24","109","Carabidae","Hg","5/10/05"
"25","109","Carabidae","Hg","11/25/05"
"26","109","Carabidae","Hg","11/25/05"
"27","109","Carabidae","Na","4/13/05"
"28","109","Carabidae","Na","5/13/05"
"29","109","Carabidae","Na","5/13/05"
"30","109","Carabidae","Na","11/24/05"
"31","109","Carabidae","Na","11/25/05"
"32","11","Staphylinidae","Na","4/13/05"
"33","110","Carabidae","Hg","3/18/05"
"34","110","Carabidae","Hg","3/18/05"
"35","110","Carabidae","Hg","4/13/05"
"36","110","Carabidae","Na","5/11/05"
"37","110","Carabidae","Control","12/2/05"
"38","111","Carabidae","Hg","4/12/05"
"39","112","Silvanidae","Hg","3/29/05"
"40","112","Silvanidae","Hg","5/17/05"
"41","112","Silvanidae","Hg","11/17/05"
"42","112","Silvanidae","Hg","12/1/05"
"43","112","Silvanidae","Hg","12/2/05"
"44","112","Silvanidae","Na","3/31/05"
"45","112","Silvanidae","Na","4/13/05"
"46","112","Silvanidae","Na","5/11/05"
"47","112","Silvanidae","Na","5/13/05"
"48","112","Silvanidae","Na","5/18/05"
"49","112","Silvanidae","Na","5/18/05"
"50","112","Silvanidae","Na","5/18/05"
"51","112","Silvanidae","Na","5/18/05"
"52","112","Silvanidae","Na","10/28/05"
"53","112","Silvanidae","Na","11/17/05"
"54","112","Silvanidae","Na","11/24/05"
"55","112","Silvanidae","Na","11/24/05"
"56","112","Silvanidae","Na","11/25/05"
