record_ID,Suborder,Superfamily,Family,Subfamily,Genus,Species,more_than_50_percent_AA,name_in_phylogeny
MOL_001,Adephaga,,Amphizoidae,,Amphizoa,lecontei,TRUE,Ade_Amp_Amphizoa
MOL_002,Adephaga,,Aspidytidae,,Aspidytes,noibe,TRUE,Ade_Asp_Aspidytes
MOL_003,Adephaga,,Carabidae,Brachininae,Brachinus,sp.,TRUE,Ade_Car_Brachinus
MOL_004,Adephaga,,Carabidae,Carabinae,Calosoma,scrutator,TRUE,Ade_Car_Calosoma
MOL_005,Adephaga,,Carabidae,Cicindelinae,Cicindela,sexguttata,TRUE,Ade_Car_Cicindela
MOL_006,Adephaga,,Carabidae,Cicindelinae,Omus,sp.,TRUE,Ade_Car_Omus
MOL_007,Adephaga,,Carabidae,Harpalinae,Pterostichus,melanarius,TRUE,Ade_Car_Pterostichus
MOL_008,Adephaga,,Carabidae,Nebriinae,Nebria,sp.,TRUE,Ade_Car_Nebria
MOL_009,Adephaga,,Carabidae,Paussinae,Arthropterus,sp.,TRUE,Ade_Car_Arthropterus
MOL_010,Adephaga,,Carabidae,Paussinae,Metrius,contractus,TRUE,Ade_Car_Metrius
MOL_011,Adephaga,,Carabidae,Trechinae,Bembidion,transversale,TRUE,Ade_Car_Bembidion
MOL_012,Adephaga,,Dytiscidae,Agabinae,Agabus,sp.,TRUE,Ade_Dyt_Agabus
MOL_013,Adephaga,,Dytiscidae,Copelatinae,Copelatus,sp.,TRUE,Ade_Dyt_Copelatus
MOL_014,Adephaga,,Dytiscidae,Dytiscinae,Dytiscus,sp.,TRUE,Ade_Dyt_Dytiscus
MOL_015,Adephaga,,Dytiscidae,Hydroporinae,Hydroporus,sp.,TRUE,Ade_Dyt_Hydroporus
MOL_016,Adephaga,,Dytiscidae,Laccophilinae,Laccophilus,pictus,TRUE,Ade_Dyt_Laccophilus
MOL_017,Adephaga,,Dytiscidae,Matinae,Matus,sp.,TRUE,Ade_Dyt_Matus
MOL_018,Adephaga,,Gyrinidae,Gyrininae,Dineutes,sublineatus,TRUE,Ade_Gyr_Dineutes
MOL_019,Adephaga,,Gyrinidae,Gyrininae,Gyrinus,sp.,TRUE,Ade_Gyr_Gyrinus
MOL_020,Adephaga,,Gyrinidae,Gyrininae,Macrogyrus,oblongus,TRUE,Ade_Gyr_Macrogyrus
MOL_021,Adephaga,,Gyrinidae,Spanglerogyrinae,Spanglerogyrus,sp.,TRUE,Ade_Gyr_Spanglerogyrus
MOL_022,Adephaga,,Haliplidae,,Haliplus,sp.,TRUE,Ade_Hal_Haliplus
MOL_023,Adephaga,,Haliplidae,Peltodytinae,Peltodytes,sp.,TRUE,Ade_Hal_Peltodytes
MOL_024,Adephaga,,Hygrobiidae,,Hygrobia,sp.,TRUE,Ade_Hyg_Hygrobia
MOL_025,Adephaga,,Meruidae,,Meru,phyllisae,TRUE,Ade_Mer_Meru
MOL_026,Adephaga,,Noteridae,Noterinae,Noterus,clavicornis,TRUE,Ade_Not_Noterus
MOL_027,Adephaga,,Noteridae,Notomicrinae,Notomicrus,sp.,FALSE,Ade_Not_Notomicrus
MOL_028,Adephaga,,Rhysodidae,,Clinidium,sp.,TRUE,Ade_Car_Clinidium
MOL_029,Adephaga,,Rhysodidae,,Omoglymmius,hamatus,TRUE,Ade_Car_Omoglymmius
MOL_030,Adephaga,,Trachypachidae,Trachypachinae,Systolosoma,breve,TRUE,Ade_Tra_Systolosoma
MOL_031,Adephaga,,Trachypachidae,Trachypachinae,Trachypachus,holmbergi,TRUE,Ade_Tra_Trachypachus
MOL_032,Archostemata,,Cupedidae,Cupedinae,Cupes,capitatus,TRUE,Arc_Cup_Cupes
MOL_033,Archostemata,,Cupedidae,Cupedinae,Distocupes,varians,FALSE,Arc_Cup_Distocupes
